subject,num_trials,num_channels,accuracy,std
S001,252,64,0.876984126984127,0.014847846772912503
S002,252,64,0.746031746031746,0.039283710065919325
S005,252,64,0.8174603174603176,0.020234204419018968
S006,252,64,0.7301587301587302,0.014847846772912463
S007,252,64,0.9404761904761904,1.1102230246251565e-16
S008,252,64,0.9126984126984127,0.04794859513331178
S011,252,64,0.7738095238095238,0.0291605921759902
S014,252,64,0.8650793650793651,0.05695515910479097
S015,252,64,0.8928571428571428,0.0350466701044756
S016,252,64,0.8373015873015873,0.011223917161691244
