model,k,retention_rate_mean,retention_rate_std,accuracy_mean
ACS_SE_CNN,10,101.2024,3.2911,0.8063
ACS_SE_CNN,15,100.6253,3.3377,0.8111
ACS_SE_CNN,20,100.8995,3.5076,0.8087
ACS_SE_CNN,25,99.7678,3.4996,0.8179
ACS_SE_CNN,30,100.1559,2.2804,0.8131
Adaptive_ARNN,10,96.0345,6.2884,0.8185
Adaptive_ARNN,15,97.7977,5.2059,0.8332
Adaptive_ARNN,20,98.11,5.8099,0.8357
Adaptive_ARNN,25,98.8461,5.2251,0.8421
Adaptive_ARNN,30,98.5233,4.5216,0.8398
Baseline_ARNN,10,97.7214,4.994,0.8302
Baseline_ARNN,15,98.0198,3.4234,0.8333
Baseline_ARNN,20,99.8035,4.3225,0.8478
Baseline_ARNN,25,100.1204,4.6719,0.8504
Baseline_ARNN,30,99.3539,5.0325,0.8437
CNN_SAE,10,97.5344,2.3156,0.8651
CNN_SAE,15,99.032,3.6795,0.8524
CNN_SAE,20,98.203,2.545,0.8583
CNN_SAE,25,97.8118,1.4714,0.8619
CNN_SAE,30,98.9407,2.3297,0.852
EEGNET,10,99.1892,2.0206,0.9099
EEGNET,15,98.8833,2.3814,0.9135
EEGNET,20,99.842,3.2727,0.9056
EEGNET,25,100.1811,2.4706,0.9024
EEGNET,30,99.6366,4.7244,0.9095
FBCSP,10,94.5583,6.1319,0.673
FBCSP,15,93.1427,3.551,0.6829
FBCSP,20,94.227,4.3274,0.6754
FBCSP,25,95.6658,5.8907,0.6655
FBCSP,30,96.1941,5.4424,0.6627
G_CARM,10,100.7819,4.7481,0.7762
G_CARM,15,103.923,8.4922,0.7575
G_CARM,20,101.9451,5.2877,0.7678
G_CARM,25,101.4719,6.8953,0.7732
G_CARM,30,100.1374,4.9497,0.781
