subject,num_trials,num_channels,avg_accuracy,std_accuracy,avg_precision,std_precision,avg_recall,std_recall,avg_f1_score,std_f1_score,avg_auc_roc,std_auc_roc,avg_specificity,std_specificity,channel_names,fold_models,csp_importance
S001,252,64,0.6150793650793651,0.014847846772912463,0.39033189033189036,0.04108121456128935,0.28571428571428575,0.050507627227610555,0.3294055013309672,0.048554953620036825,0.0,0.0,0.7797619047619048,0.008417937871268393,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e603b0410>, <__main__.FBCSP object at 0x7d3e60386bd0>, <__main__.FBCSP object at 0x7d3e55fb4ad0>]","[3.34850960e-07 4.50488693e-07 5.87549086e-07 6.58717794e-07
 6.27038214e-07 7.01344219e-07 6.40917092e-07 6.75536267e-07
 5.94392227e-07 6.97188282e-07 6.62237432e-07 6.59150109e-07
 5.58857910e-07 5.95605955e-07 6.09735159e-07 6.22273768e-07
 6.23725058e-07 5.97809914e-07 6.04650726e-07 6.08643935e-07
 5.70118402e-07 6.17948373e-07 6.50189583e-07 5.97979427e-07
 6.08006099e-07 6.05454386e-07 5.74148549e-07 6.23892814e-07
 6.59039793e-07 6.13994079e-07 6.62967386e-07 6.20104271e-07
 6.13136456e-07 6.29356581e-07 6.35795337e-07 6.27466967e-07
 5.25067857e-07 6.20451314e-07 5.35275929e-07 5.84861273e-07
 5.82186122e-07 6.27091138e-07 5.48628379e-07 5.58843257e-07
 5.78392253e-07 6.72994654e-07 5.50355201e-07 5.47034189e-07
 5.84620296e-07 5.80877309e-07 5.80080357e-07 5.84079282e-07
 5.34153653e-07 6.03782642e-07 6.47066078e-07 5.82967798e-07
 5.67778983e-07 5.66632362e-07 5.16473959e-07 5.06050303e-07
 5.61969836e-07 5.80997266e-07 5.48661040e-07 5.33829908e-07]"
S002,252,64,0.6785714285714285,0.00972019739199675,0.5319444444444444,0.025534411542847548,0.3571428571428572,0.07715167498104597,0.42088847127606827,0.04543013356339362,0.0,0.0,0.8392857142857143,0.05050762722761051,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e601e2bd0>, <__main__.FBCSP object at 0x7d3e369ff7d0>, <__main__.FBCSP object at 0x7d3e369cb8d0>]","[2.97632717e-07 4.47050125e-07 3.60202268e-07 4.51934724e-07
 3.92065806e-07 4.39597973e-07 4.79679613e-07 4.68383815e-07
 4.17435576e-07 5.56917528e-07 4.82376946e-07 5.16683097e-07
 5.50732866e-07 5.19302168e-07 5.22209146e-07 4.78832971e-07
 5.60345169e-07 4.73486291e-07 5.10490751e-07 4.43904269e-07
 4.42899765e-07 4.68314704e-07 4.26038614e-07 5.16087523e-07
 4.78454115e-07 4.91372131e-07 4.55813803e-07 4.34268539e-07
 4.79631344e-07 5.55731504e-07 4.18211906e-07 4.78994518e-07
 4.98675891e-07 4.34199071e-07 4.52171192e-07 4.23761403e-07
 4.89504359e-07 4.66898588e-07 4.20406147e-07 4.45801918e-07
 3.98614193e-07 4.60733807e-07 4.39167569e-07 4.66807866e-07
 4.12080689e-07 4.16856850e-07 4.62673327e-07 4.35267181e-07
 4.49952609e-07 3.88839665e-07 4.47116956e-07 4.76727923e-07
 4.20023926e-07 4.44518250e-07 4.27141171e-07 4.41958532e-07
 4.48329389e-07 4.15981067e-07 4.47548522e-07 4.59316838e-07
 4.35112944e-07 3.85309604e-07 4.14917980e-07 4.39064922e-07]"
S005,252,64,0.6190476190476191,0.00972019739199675,0.38576998050682265,0.013079326469564348,0.2380952380952381,0.01683587574253685,0.29376331131811634,0.010720949969426548,0.0,0.0,0.8095238095238096,0.02227177015936871,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e3690d410>, <__main__.FBCSP object at 0x7d3e4c19d990>, <__main__.FBCSP object at 0x7d3e44fa6bd0>]","[2.59648271e-07 4.07924683e-07 4.80092140e-07 4.47670649e-07
 5.28125027e-07 4.75339967e-07 5.36234766e-07 4.62277279e-07
 4.76444133e-07 5.55245269e-07 4.56236469e-07 5.54252356e-07
 4.94939964e-07 4.38810075e-07 4.49282135e-07 4.44582977e-07
 5.09860153e-07 4.75177414e-07 4.72469904e-07 4.51535831e-07
 4.60424389e-07 4.43316405e-07 4.53522436e-07 4.64780195e-07
 4.27671363e-07 4.51231131e-07 4.48184604e-07 4.23647126e-07
 4.31610914e-07 4.40682275e-07 4.46543418e-07 5.01902703e-07
 4.61101066e-07 4.41740514e-07 4.03920686e-07 4.38316357e-07
 4.38727836e-07 4.10523045e-07 4.44258497e-07 4.38594275e-07
 4.67269808e-07 4.56167340e-07 4.23638412e-07 4.42846868e-07
 4.63184052e-07 4.28495852e-07 4.21141924e-07 4.27862573e-07
 4.39655635e-07 4.53471121e-07 4.25851509e-07 4.52065301e-07
 4.61362926e-07 4.47699931e-07 4.51672750e-07 4.57890780e-07
 4.34129129e-07 4.13813875e-07 4.72216506e-07 4.42040178e-07
 4.45799485e-07 4.66972593e-07 4.48753070e-07 4.55037971e-07]"
S006,252,64,0.5158730158730158,0.0341362113771533,0.19578134284016635,0.09756362073087806,0.16666666666666666,0.11040022018447268,0.17872053872053872,0.10580734017189201,0.0,0.0,0.6904761904761904,0.03035130662852846,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e368e5fd0>, <__main__.FBCSP object at 0x7d3e36a88ad0>, <__main__.FBCSP object at 0x7d3e44e9a9d0>]","[1.55606991e-07 6.77406036e-07 5.71145153e-07 5.23133279e-07
 6.37890275e-07 5.33251345e-07 4.16945409e-07 4.87370260e-07
 3.95492577e-07 5.00120013e-07 3.66552476e-07 4.77026694e-07
 3.97394051e-07 4.17955732e-07 4.45679092e-07 3.99049726e-07
 4.12150501e-07 3.79655224e-07 3.89013902e-07 3.87780241e-07
 4.05460352e-07 3.87721596e-07 3.82661727e-07 3.96607956e-07
 3.75172810e-07 3.92356193e-07 3.98317149e-07 4.25567252e-07
 3.95926355e-07 3.68786252e-07 3.94151831e-07 3.84237885e-07
 3.96560398e-07 4.02977638e-07 3.85288785e-07 3.99129026e-07
 4.26306481e-07 3.82717075e-07 3.74596197e-07 3.97544219e-07
 3.87949848e-07 4.05788270e-07 3.83408431e-07 3.89500448e-07
 4.09769818e-07 3.98688729e-07 4.07131395e-07 3.94379679e-07
 4.14265613e-07 3.77166014e-07 3.94362176e-07 4.01462098e-07
 4.19189374e-07 3.85545574e-07 4.33798592e-07 3.64950649e-07
 3.85546321e-07 3.89861848e-07 3.95541377e-07 4.00752955e-07
 3.86707196e-07 3.68149190e-07 4.02660935e-07 3.81345681e-07]"
S007,252,64,0.7261904761904762,0.0291605921759902,0.6382451970687265,0.07243370714431155,0.42857142857142855,0.029160592175990225,0.5113687600644122,0.038249264927409043,0.0,0.0,0.875,0.03857583749052299,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e368e4e10>, <__main__.FBCSP object at 0x7d3e3693b450>, <__main__.FBCSP object at 0x7d3e36976590>]","[4.47831756e-07 4.20675881e-07 7.19300526e-07 7.86019989e-07
 9.37016644e-07 6.27285210e-07 7.84800959e-07 5.60400752e-07
 5.76444132e-07 5.18825196e-07 5.05895761e-07 4.79382987e-07
 5.93928960e-07 4.76672566e-07 4.90964214e-07 6.55970830e-07
 4.31331588e-07 4.61371298e-07 5.95559969e-07 5.25149199e-07
 4.62928627e-07 5.88429705e-07 4.65318630e-07 5.78373606e-07
 5.39120709e-07 5.47411894e-07 5.08342637e-07 5.21407577e-07
 5.81211755e-07 6.42985465e-07 5.45865480e-07 5.85101891e-07
 4.81797879e-07 5.36357091e-07 5.84510891e-07 6.02527021e-07
 5.19255777e-07 5.34245725e-07 5.89631292e-07 5.38619023e-07
 5.68139240e-07 5.33079047e-07 5.26490107e-07 4.79156909e-07
 5.36525840e-07 4.66776343e-07 6.09369160e-07 4.94913558e-07
 4.73734645e-07 4.87398755e-07 4.40902945e-07 5.33323693e-07
 5.28040842e-07 4.78673530e-07 5.42018910e-07 5.09049844e-07
 5.01231763e-07 5.29539571e-07 5.30396705e-07 4.79177453e-07
 5.23920456e-07 5.40761489e-07 5.25401648e-07 4.43365065e-07]"
S008,252,64,0.6071428571428572,0.04236935814298138,0.37520128824476656,0.09276396659092946,0.2738095238095238,0.07338588098772592,0.3159278204035237,0.08136872945869424,0.0,0.0,0.7738095238095238,0.03669294049386296,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e44e23050>, <__main__.FBCSP object at 0x7d3e44b471d0>, <__main__.FBCSP object at 0x7d3e44ea4dd0>]","[3.25380389e-07 4.14504315e-07 3.99109940e-07 3.90354515e-07
 4.55475879e-07 4.79245290e-07 5.77902592e-07 4.56307661e-07
 3.91701747e-07 4.46316154e-07 4.12373611e-07 4.44227990e-07
 4.06342832e-07 3.86309946e-07 4.00672992e-07 3.98418027e-07
 3.88450756e-07 3.99839542e-07 3.62245064e-07 3.93298423e-07
 3.70698737e-07 3.48647274e-07 3.80156848e-07 3.66997609e-07
 3.76197717e-07 3.58585263e-07 3.59620849e-07 3.71683034e-07
 3.54949169e-07 3.82663968e-07 3.70020672e-07 3.90263042e-07
 3.89125833e-07 3.58137618e-07 3.85236723e-07 4.06183108e-07
 3.89601049e-07 3.43957891e-07 3.76209006e-07 4.03203116e-07
 3.70810642e-07 4.07691008e-07 3.32069814e-07 3.75131265e-07
 3.37812287e-07 3.71723387e-07 3.69410947e-07 3.69015871e-07
 4.16324093e-07 3.92148491e-07 3.81658981e-07 3.60886099e-07
 3.58301827e-07 4.02968291e-07 3.91291287e-07 3.82322692e-07
 3.67159427e-07 3.77866942e-07 3.91365320e-07 3.96330642e-07
 3.92604237e-07 3.87554274e-07 3.75888488e-07 3.71802282e-07]"
S011,252,64,0.5079365079365079,0.020234204419018985,0.18306878306878308,0.05320552419037687,0.14285714285714288,0.05050762722761054,0.15990579989173684,0.05196477185821157,0.0,0.0,0.6904761904761906,0.033671751485073675,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e44ed16d0>, <__main__.FBCSP object at 0x7d3e44e7efd0>, <__main__.FBCSP object at 0x7d3e44a32f50>]","[6.74631177e-08 2.47801269e-07 2.85253429e-07 2.54717411e-07
 3.31053969e-07 2.15783395e-07 2.65774921e-07 2.56711448e-07
 2.73927580e-07 2.51830548e-07 2.86088278e-07 2.36269444e-07
 2.72533504e-07 2.59237243e-07 2.42114193e-07 2.36587430e-07
 2.51919511e-07 2.72212570e-07 2.71377675e-07 2.68696986e-07
 2.44203570e-07 2.24055894e-07 2.72234455e-07 2.27715309e-07
 2.36081180e-07 2.42965668e-07 2.87068771e-07 2.43813963e-07
 2.61912770e-07 2.21483994e-07 2.55997764e-07 2.63887635e-07
 2.48034160e-07 2.60845005e-07 2.42492154e-07 2.39072731e-07
 2.32214979e-07 2.81583716e-07 2.56410304e-07 2.39637247e-07
 2.41063868e-07 2.39001808e-07 2.44097228e-07 2.10350724e-07
 2.39188948e-07 2.44391802e-07 2.40227564e-07 2.62059510e-07
 2.27136190e-07 2.30693479e-07 2.14732874e-07 2.38206087e-07
 2.28968937e-07 2.09646385e-07 2.32787741e-07 2.44902893e-07
 2.44839938e-07 2.21093083e-07 2.26766762e-07 2.23286920e-07
 2.17007766e-07 2.21766627e-07 2.19052085e-07 2.35959982e-07]"
S014,252,64,0.6746031746031745,0.06616401587513121,0.48966817496229265,0.18479757790872153,0.3095238095238095,0.14964053678543493,0.37748419150858176,0.1681928668453595,0.0,0.0,0.8571428571428571,0.025253813613805284,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e44db0a90>, <__main__.FBCSP object at 0x7d3e44a43b10>, <__main__.FBCSP object at 0x7d3e449f7e10>]","[2.17883783e-07 6.48818462e-07 5.67926434e-07 6.77331331e-07
 8.72282934e-07 5.83196935e-07 6.67972191e-07 5.93825465e-07
 5.19010996e-07 5.18990330e-07 4.75873793e-07 5.08194545e-07
 4.60954253e-07 4.82144858e-07 5.44940858e-07 5.29346750e-07
 4.86201291e-07 4.59296231e-07 4.88363216e-07 5.03629648e-07
 5.41544341e-07 5.16910180e-07 5.25981647e-07 4.56956106e-07
 4.90740776e-07 4.33867888e-07 4.65073174e-07 4.29252520e-07
 4.98180928e-07 4.96154420e-07 4.14972549e-07 4.19763817e-07
 4.40203414e-07 4.75543701e-07 4.95631521e-07 4.84211328e-07
 4.26063071e-07 4.28699816e-07 4.59690374e-07 4.12475080e-07
 4.75271411e-07 4.67558781e-07 4.74211291e-07 4.14899486e-07
 5.24664670e-07 4.50959155e-07 5.05582198e-07 4.75269020e-07
 4.31205943e-07 4.84857628e-07 4.45711368e-07 4.79954231e-07
 4.33987162e-07 4.73931879e-07 4.56465957e-07 4.93456546e-07
 4.56338398e-07 4.60876956e-07 4.94669270e-07 4.52695967e-07
 4.08087222e-07 4.59313302e-07 4.99176145e-07 4.87113752e-07]"
S015,252,64,0.746031746031746,0.04593586072535807,0.6332587382779198,0.050866432035707225,0.5476190476190476,0.17086547731437288,0.5773420479302832,0.11063248615504859,0.0,0.0,0.8452380952380952,0.03367175148507373,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e447be8d0>, <__main__.FBCSP object at 0x7d3e44a11d90>, <__main__.FBCSP object at 0x7d3e44437f90>]","[4.67361320e-07 7.83358906e-07 7.34832042e-07 8.00331836e-07
 1.24657731e-06 1.17252584e-06 1.09174439e-06 1.24377877e-06
 9.79188965e-07 9.59801721e-07 7.68410809e-07 8.91588603e-07
 9.10970749e-07 8.55014115e-07 8.87634516e-07 8.58720791e-07
 8.61108098e-07 8.61918190e-07 7.83553667e-07 8.54899156e-07
 7.91568093e-07 7.99835428e-07 8.10123986e-07 8.57551859e-07
 8.15059990e-07 9.79637084e-07 8.39285975e-07 7.74956876e-07
 7.65874881e-07 7.73225069e-07 7.83056360e-07 8.27380035e-07
 6.99649514e-07 8.42306605e-07 8.10441128e-07 8.05210990e-07
 8.06520081e-07 7.51526384e-07 7.54438377e-07 7.71892163e-07
 7.24115904e-07 7.97089142e-07 8.11853293e-07 8.16742890e-07
 7.89880212e-07 7.14299871e-07 7.79605046e-07 8.10358340e-07
 6.80374814e-07 7.59253278e-07 7.57706476e-07 7.62809714e-07
 7.15145297e-07 7.41907322e-07 7.95273396e-07 7.43707111e-07
 7.52221919e-07 6.94580220e-07 8.25779483e-07 7.01069056e-07
 7.37302252e-07 7.60083620e-07 7.64635457e-07 7.29822012e-07]"
S016,252,64,0.626984126984127,0.014847846772912503,0.43288982259570497,0.019255227184303843,0.3928571428571428,0.11664236870396084,0.4034595034595035,0.06880616037384062,0.0,0.0,0.7440476190476191,0.07482026839271744,"['Fc5', 'Fc3', 'Fc1', 'Fcz', 'Fc2', 'Fc4', 'Fc6', 'C5', 'C3', 'C1', 'Cz', 'C2', 'C4', 'C6', 'Cp5', 'Cp3', 'Cp1', 'Cpz', 'Cp2', 'Cp4', 'Cp6', 'Fp1', 'Fpz', 'Fp2', 'Af7', 'Af3', 'Afz', 'Af4', 'Af8', 'F7', 'F5', 'F3', 'F1', 'Fz', 'F2', 'F4', 'F6', 'F8', 'Ft7', 'Ft8', 'T7', 'T8', 'T9', 'T10', 'Tp7', 'Tp8', 'P7', 'P5', 'P3', 'P1', 'Pz', 'P2', 'P4', 'P6', 'P8', 'Po7', 'Po3', 'Poz', 'Po4', 'Po8', 'O1', 'Oz', 'O2', 'Iz']","[<__main__.FBCSP object at 0x7d3e44c808d0>, <__main__.FBCSP object at 0x7d3e44325590>, <__main__.FBCSP object at 0x7d3e44594250>]","[2.13325908e-07 2.71340298e-07 3.81252640e-07 3.70701810e-07
 4.40147306e-07 6.02277897e-07 4.31508434e-07 4.20861672e-07
 4.07812160e-07 4.28906251e-07 5.17124843e-07 4.51054540e-07
 4.62064612e-07 4.52607519e-07 5.01825747e-07 4.11793110e-07
 3.95747337e-07 3.90426484e-07 3.60818417e-07 3.68362034e-07
 3.95075184e-07 3.95837939e-07 3.73221341e-07 3.99984381e-07
 4.40692609e-07 3.90200335e-07 3.59220491e-07 4.35033753e-07
 3.64424905e-07 3.33132121e-07 3.59093098e-07 3.65301329e-07
 3.48475302e-07 3.40857999e-07 3.77376765e-07 3.90720328e-07
 3.92701889e-07 3.61035324e-07 4.01744204e-07 3.98564796e-07
 3.80866214e-07 3.99050432e-07 3.22326287e-07 3.32316846e-07
 3.83522590e-07 3.83314975e-07 3.59494593e-07 3.56736398e-07
 3.91034439e-07 3.56863074e-07 3.62487812e-07 3.88247412e-07
 3.71246648e-07 4.05967185e-07 3.53229127e-07 3.36549063e-07
 3.48402225e-07 3.65419453e-07 3.70445409e-07 4.01914136e-07
 3.04760115e-07 3.60856725e-07 3.57402906e-07 3.86284063e-07]"
