model,k,fold,accuracy,precision,recall,f1_score,auc_roc,specificity,sensitivity
EEGNet,10,1,0.8051247471341875,0.8054421768707483,0.8021680216802168,0.8038017651052274,0.8902893726923846,0.8080536912751678,0.8021680216802168
EEGNet,10,2,0.7950101146325017,0.7983539094650206,0.7875507442489851,0.7929155313351499,0.8782119836454376,0.8024193548387096,0.7875507442489851
EEGNet,15,1,0.8145650708024275,0.8311874105865522,0.7872628726287263,0.8086290883785665,0.9039231734599225,0.8416107382550335,0.7872628726287263
EEGNet,15,2,0.7943358057990559,0.7818181818181819,0.8146143437077131,0.7978793903247186,0.8846668703711786,0.7741935483870968,0.8146143437077131
EEGNet,20,1,0.8118678354686446,0.813953488372093,0.8062330623306233,0.8100748808713412,0.9028555319110239,0.8174496644295302,0.8062330623306233
EEGNet,20,2,0.8084962913014161,0.7958387516254877,0.8281461434370772,0.8116710875331565,0.8890119603649221,0.7889784946236559,0.8281461434370772
EEGNet,25,1,0.830074173971679,0.8266129032258065,0.8333333333333334,0.8299595141700405,0.9048253032865899,0.8268456375838926,0.8333333333333334
EEGNet,25,2,0.8098449089683075,0.8100407055630936,0.8078484438430311,0.8089430894308942,0.8926586348887627,0.8118279569892473,0.8078484438430311
EEGNet,30,1,0.8199595414699933,0.7896678966789668,0.8699186991869918,0.8278529980657641,0.9050035466797621,0.7704697986577181,0.8699186991869918
EEGNet,30,2,0.8084962913014161,0.8155339805825242,0.7956698240866035,0.8054794520547944,0.8888282625460155,0.821236559139785,0.7956698240866035
EEGNet,35,1,0.8334457181389077,0.8277703604806409,0.8401084010840109,0.8338937457969066,0.9078227023880978,0.8268456375838926,0.8401084010840109
EEGNet,35,2,0.8145650708024275,0.8012987012987013,0.8349120433017592,0.8177601060304837,0.8982041264714014,0.7943548387096774,0.8349120433017592
