subject,retention_pct,accuracy_drop,avg_accuracy
S006,103.47372704337684,-0.026507936507936543,0.7876190476190476
S005,101.00473933649289,-0.008412698412698406,0.8457142857142856
S011,100.91784977551268,-0.007460317460317416,0.8146031746031746
S007,100.57947324022871,-0.005079365079365132,0.9249206349206349
S008,98.56731075585209,0.013174603174603127,0.9019047619047619
S001,97.85517114464483,0.01777777777777783,0.81
S015,97.14622087990305,0.025873015873015815,0.8796825396825397
S014,96.35335335335334,0.0315873015873016,0.8350793650793651
S016,94.69586334636757,0.046984126984126906,0.8323809523809524
S002,92.59536956790888,0.05888888888888889,0.7355555555555555
