subject,variant,description,accuracy,std,time
S001,baseline,3x (TFEM + 1-layer CARM),0.5028860569715142,0.1666791604197901,35.22086143493652
S001,multi2,3x (TFEM + 2-layer CARM) - 2 hops,0.6666791604197901,0.002886056971514228,47.13759243488312
S001,multi3,3x (TFEM + 3-layer CARM) - 3 hops,0.6666791604197901,0.002886056971514228,62.098283767700195
S002,baseline,3x (TFEM + 1-layer CARM),0.6666791604197901,0.002886056971514228,32.13561677932739
S002,multi2,3x (TFEM + 2-layer CARM) - 2 hops,0.6666791604197901,0.002886056971514228,47.15605664253235
S002,multi3,3x (TFEM + 3-layer CARM) - 3 hops,0.6666791604197901,0.002886056971514228,62.11162352561951
S005,baseline,3x (TFEM + 1-layer CARM),0.6666666666666666,0.0,34.5107307434082
S005,multi2,3x (TFEM + 2-layer CARM) - 2 hops,0.6666666666666666,0.0,50.832918643951416
S005,multi3,3x (TFEM + 3-layer CARM) - 3 hops,0.6666666666666666,0.0,67.21819221973419
S006,baseline,3x (TFEM + 1-layer CARM),0.6666666666666666,0.0,34.52926516532898
S006,multi2,3x (TFEM + 2-layer CARM) - 2 hops,0.6666666666666666,0.0,50.847320437431335
S006,multi3,3x (TFEM + 3-layer CARM) - 3 hops,0.6666666666666666,0.0,67.21580564975739
S007,baseline,3x (TFEM + 1-layer CARM),0.6666666666666666,0.0,34.53308296203613
S007,multi2,3x (TFEM + 2-layer CARM) - 2 hops,0.6666666666666666,0.0,50.84639036655426
S007,multi3,3x (TFEM + 3-layer CARM) - 3 hops,0.6666666666666666,0.0,67.18920421600342
