subject,num_trials,num_channels,gated_acc,gated_std,gate_mean,gate_std,gate_min,gate_max
S001,231,64,0.8009370314842579,0.016454272863568264,0.8999593257904053,0.0004143799014855176,0.8992242217063904,0.900711178779602
S002,231,64,0.7705772113943028,0.0033358320839579902,0.899919867515564,0.0005833382019773126,0.8986215591430664,0.9011615514755249
S005,252,64,0.8492063492063492,0.007936507936507908,0.8999912738800049,0.0005422988906502724,0.8988369107246399,0.9010056257247925
S006,252,64,0.7738095238095238,0.0357142857142857,0.8999457955360413,0.0004543661780189723,0.8989992141723633,0.9007880687713623
S007,252,64,0.9246031746031746,0.00396825396825401,0.8999309539794922,0.0004522005037870258,0.8990558385848999,0.9009445905685425
S008,210,64,0.9190476190476191,0.02380952380952378,0.8999406099319458,0.0004274948441889137,0.8988419771194458,0.9007803201675415
S011,252,64,0.8174603174603174,0.023809523809523836,0.8999422788619995,0.000510789395775646,0.8990654945373535,0.9010567665100098
S014,252,64,0.8650793650793651,0.015873015873015872,0.8999602198600769,0.0005853606853634119,0.8988602757453918,0.9009870290756226
S015,231,64,0.926424287856072,0.004010494752623661,0.8999119400978088,0.000426852231612429,0.899137020111084,0.9007471799850464
S016,252,64,0.7976190476190477,0.05158730158730157,0.8999091386795044,0.0005820755613967776,0.8983361721038818,0.9013910293579102
